review_date,review_month,review_year,review_month_year,review,sentiment,data_source,source,hotel
2026-06-09,June,2026,June 2026,"The location, facilities, and staff were all amazing for the price, making my first trip to Malaysia so joyful and pleasant. I would definitely stay here again.",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-06-08,June,2026,June 2026,"The vibe, the hospitality of the staff towards us",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-06-07,June,2026,June 2026,The location is perfect. Friendly staff. Clean.,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-06-07,June,2026,June 2026,"The spa, pool and room are marvelous. We enjoy every moment of our stay. The breakfast is superb!",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-06-04,June,2026,June 2026,"Strategic location, staff are all very friendly and helpful. Fast check in check out. Breakfast is delicious",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-06-02,June,2026,June 2026,Staff. All was excellent. One of the staff came to my room and bring the cake for birthday amenities. He sang the song from the door to the seat. So fun! The ladies at the counter for check in also was excellent. She upgrade my room and request for birthday amenities that she can do.,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-06-02,June,2026,June 2026,"We had another excellent stay at JW Marriott Kuala Lumpur. This was our second time staying at the hotel, and we were pleasantly surprised to receive a complimentary upgrade to a room on the 18th floor with a lovely pool view. The room was spacious, comfortable, and impeccably clean, making it a great place to relax after a day out in the city. The location is hard to beat. Situated in the heart of Bukit Bintang and directly opposite Pavilion Kuala Lumpur, it offers easy access to shopping, dining, and entertainment options. Check in and check out were seamless, and the staff were consistently friendly, professional, and attentive throughout our stay. We always felt welcomed and well looked after. Overall, JW Marriott Kuala Lumpur continues to impress with its excellent service, comfortable accommodations, and unbeatable location. We would not hesitate to stay here again and highly recommend it to anyone visiting Kuala Lumpur.",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-06-02,June,2026,June 2026,The hotel in general is perfect the staff are very welcoming. Especially Junu she is great,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-06-01,June,2026,June 2026,1. The strategic location 2.incredible services by each and every hotel staff they really have done very well especially Efam who assisted us with check ins and Jerome the server at Shook 3.spacious bathroom with a separate dressing table 4. fast and efficient elevator 5.single beds which see big enough for two person actually! 6. Very good hotel breakfast.,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-06-01,June,2026,June 2026,"The staff are super welcoming. Awi helped us during check in, he managed to get us our room earlier after a long flight. The location is perfect! Easily accessible",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-31,May,2026,May 2026,"The staff, their flexibility and great service. I had a late flight and the staff treated outstanding even if I was already checked out. It s my 3th time in this hotel.",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-25,May,2026,May 2026,"The staff were brilliant, they gave me the room 3 hours earllier than check in time even though I could see that the hotel was extremely busy at noontime. Location of the hotel is unbeatable, right in the middle of the action of Bukit Bintang shopping area. Easy walking distance to the best eating areas. My room on the 24th floor was clean and spacious and very well decorated.",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-23,May,2026,May 2026,"Great experience, warm and friendly staff. From Concierge to Receptionists. Thanks To Sara and Jason....Breakfast was delicious with a good variety... Miya and May and the whole crew... Thank you for making our stay memorable",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-22,May,2026,May 2026,Nice and clean room. Excellence hospitality from Xin Ru when check in.,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-21,May,2026,May 2026,Clean and quiet,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-18,May,2026,May 2026,"Location is perfect, breakfast is above average",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-18,May,2026,May 2026,Near city center,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-18,May,2026,May 2026,"Was allowed to check in 2hours earlier plus upgrade our room. Provided a birthday cake, due to wife's birthday. Very thoughtful. Will definitely stay again.",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-17,May,2026,May 2026,"Amazing staff, they hold very high standards.",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-17,May,2026,May 2026,The room ....infront of city view .Front Desk staff are very humble and caring .,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-17,May,2026,May 2026,"My daughter and I recently spent three nights at JW Marriott Kuala Lumpur at Bukit Bintang, and our stay was made truly memorable by Nijhum at the reception, whose hospitality went far beyond anything we expected. From the moment we checked in, Nijhum took genuine care of us. She kindly arranged complimentary breakfast for both of us for our entire stay, which was such a warm and unexpected gesture. Throughout our trip she helped us arrange taxis, guided us to sensible and good value shopping areas, recommended places worth visiting, and pointed us towards wonderful local food. As a mother travelling alone with my daughter in an unfamiliar city, having someone so attentive, kind, and trustworthy at the front desk gave me real peace of mind. This level of warmth and personal attention is rare. Nijhum represents the very best of what hospitality should be, and she is a real asset to the JW Marriott team. The hotel itself was excellent clean, comfortable, and beautifully located but it was Nijhum s personal care that elevated our experience from a pleasant stay into a memorable one. Thank you, Nijhum. We will not forget your kindness, and we will certainly return.",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-14,May,2026,May 2026,I loved the location.,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-13,May,2026,May 2026,"The staff were nice, polite and helpful. We were very satisfied with the services and the breakfast buffet was prefect with a wide variety of foods,",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-13,May,2026,May 2026,"Room was very comfortable, breakfast selection was excellent, and pleased there was a bar open downstairs for a glass of win on our arrival at 11pm!",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-11,May,2026,May 2026,Facilities and staff are excellent,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-10,May,2026,May 2026,This is a regular stay place for the last 6 years I have been visiting KL. Nice property with good facilities,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-05,May,2026,May 2026,"We recently stayed at the JW Marriott Hotel Kuala Lumpur for 2 nights to celebrate our 2nd wedding anniversary, and it was truly a memorable experience. From the moment we checked in, the service was exceptional. The staff were warm, attentive, and genuinely made us feel welcomed throughout our stay. To our pleasant surprise, we were upgraded to a nicer room, which made our celebration even more special. The room was beautifully maintained, comfortable, and had everything we needed for a relaxing stay. Every detail, from cleanliness to amenities, was on point. The overall ambience of the hotel added a touch of luxury to our anniversary celebration. Thank you to the entire team for making our special occasion even more meaningful. We truly appreciate the hospitality and will definitely be back again. Highly recommended for anyone looking for a comfortable and memorable stay!",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-03,May,2026,May 2026,Clean n comfy,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-03,May,2026,May 2026,Location and staff,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-29,April,2026,April 2026,Location which is exactly opposite the Pavilion. Buffet breakfast was nice as well. Staff was very courteous. The restaurant manager recommended me Malaysian tea Ta Tariq which I which I loved. Keep up the good work team JW Marriott.,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-28,April,2026,April 2026,"Excellent location, friendly staff, great buffet food and great for family",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-27,April,2026,April 2026,We liked the size of the room and the fact the adjoining room was rather large as well by Asian standards. The location of the hotel within Bukit Bintang was excellent opposite to Pavillion. The pool area was good to relax in. We didn't try the in house restaurants as there is plenty of eating options everywhere you look.,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-26,April,2026,April 2026,I like the property s proximity to the mall. There are many shops and restaurants near the hotel.,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-22,April,2026,April 2026,"Fantastic location surrounded by malls in the heart of Bukit Bintang also adjacent to posh Star Hills restaurants shops and services. Spacious and clean room. Superb staff, very attentive and friendly with a smile. Very welcoming. Breakfast was delicious and plentiful. The only thing is missing Kueh Malay traditional cake. We had a very pleasant stay indeed at Marriott KL also at any other Marriott around the world.",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-20,April,2026,April 2026,"BREAKFAST WAS GREAT, STAFF WERE VERY POLITE AND ALWAYS ON HAND EXCENT SERVICE",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-20,April,2026,April 2026,"Location is great, the property is very clean and staff are very friendly and hospitable,, particularly Mr. Efarn from reception, Rash Vellu the senior duty manager, Rup, Ronel AYS and Bishany from Room Service department. Staff were extremely cooperative and make your life easy. Thank you",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-18,April,2026,April 2026,Location excellent. Staff always give their best to help with customers inquiries or queries. Keep up the good work.,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-16,April,2026,April 2026,stay was extremely comfortable and location was great,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-14,April,2026,April 2026,Friendly st aff,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-12,April,2026,April 2026,The staff was exceptionally helpful and looked after my needs until my room was available. I liked the location too. It was exciting and so close to shopping.,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-12,April,2026,April 2026,"Clean, Modern, Great Location, Good facilities, Great Breakfast, Pool and Gym excellent.",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-11,April,2026,April 2026,The services are top notch! Love how cosy and homely the room is. It s also accessible and very close to pavilion,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-09,April,2026,April 2026,I took my breakfast outside but i know food here is awesome. Location is perfect.,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-07,April,2026,April 2026,"I always choose JW Marriott KL whenever I m in Kuala Lumpur, simply because the location is unbeatable. It s right next to Pavilion and close to everything, including amazing food options. Even the restaurant bar inside are quality. I really love this hotel the rooms are beautifully designed, very comfortable, and the view is absolutely stunning. It s the perfect place to relax after a busy day in the city. The service is consistently excellent, with attentive staff who make you feel welcome every time. The overall atmosphere is both luxurious and warm, which makes every stay special. Highly recommended, and I ll definitely keep coming back.",Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-06,April,2026,April 2026,Location staff whole experience,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-02,April,2026,April 2026,For me the best place to stay in KL. The staff are amazing and made sure I had a very comfortable and enjoyable stay. My room was spacious and comfortable and facilities such as the spa and pool are maintained to a high standard. The hotel is in a great location in the heart of Bukit Bintang with its many restaurants and shops.,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-01,April,2026,April 2026,Customer service was excellent,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-03-30,March,2026,March 2026,Love the location. Love the staff. The hotel room was soooo spacious and clean and nice. I would definitely recommend everyone to book this. Pavilion is literally opposite to the hotel. Everything 10 10,Positive,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-06-25,June,2026,June 2026,Lacking personality Location Hectic but empty at same time. Weird bar on lower level just playing fashion ads when they could have been playing music fifa wc,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-06-22,June,2026,June 2026,"Run down luxury hotel. In heart of Bukit Bintang Run down with the mini fridge not cold, coffee machine not working, some switches not in working state. The worst is the pillows, super uncomfy.",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-30,May,2026,May 2026,Pleasant Location The rooms are very noisy,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-05-29,May,2026,May 2026,Pleasant Location. Housekeeping is very loud noise . The pillow is very flat even stack up few pieces .....,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-23,April,2026,April 2026,"Six of one, half a dozen of the other Great location, close to all attractions in KL. Lots on offer in the hotel and very close surrounds My review is balanced in that we had a cleanliness issue that was immediately resolve by the manager Gayatri on duty and amazing added benefit to make our stay more comfortable. However on our last night we had a really crabby and sick baby and the hotel night manager called our room to tell us to keep the baby quiet because the guest next door couldn t sleep. This left us with a terrible feeling because nursing a young crabby baby is stressful to parents and made my wife feel extremely upset. We raised it upon check out and it wasn t handled well because we were simply told write a review",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-13,April,2026,April 2026,"It was unpleasant stay for me Great location Firstly, I experienced issues with the shower head, which was not functioning properly. Additionally, the bedsheets did not feel as clean as expected, as there appeared to be some dust present. I also found the breakfast experience disappointing. While the food itself was of good quality, the overall arrangement and replenishment were insufficient. Many items ran out quickly, and it felt quite difficult to access the food comfortably. Lastly, I felt a noticeable difference in the level of service provided to me compared to other guests. It gave me the impression that I was treated differently, possibly due to being a local guest. I hope this is not reflective of your service standards, as all guests should be treated with equal courtesy and respect.",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-04-06,April,2026,April 2026,Pleasant The breakfast and the staff at the pool The front desk staff are extremely unhelpful. They didn't have our rooms ready at 3 which is standard check in time and we had to wait another 2 hours to checkin. They couldn't give us an exact time and refused to help any further. V disappointing,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-03-25,March,2026,March 2026,"Delayed checked in that cause unhappiness. Our check in was delayed for 2 hours!!! One of our room is not ready at 3pm. Front staff told us to wait but didn t say wait for how long. By 5pm we still don t have our room, staff claimed that because we requested for a room that is closed to lift but we already said we only need one room to be closed to the lift which we already did. Yet they still make us wait for more than 2 hours and did not give us any reply. Which is super ridiculous when this happen at Jw Marriott .",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-02-28,February,2026,February 2026,The staff and the location was good The location was great The bathroom was not clean properly,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-01-15,January,2026,January 2026,Pleasant Location right in city centre There is a huge column in the middle of the room,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-01-13,January,2026,January 2026,"The room we were offered is way below the standard of a hotel with the JW Marriott Brand. The breakfast is good. The location is great. When booking.com advertises a room, it would be ideal if they can mention on which level the rooms are located. We were offered a room on the second floor with no view. The staffs at the reception are the worst you can expect as a tourist in a foreign country. All they can do is just apologise but they never have a solution.",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-01-05,January,2026,January 2026,"It was okay. Location and food! Stayed here because im taking my mom who is on a wheelchair as she wants to visit KL. Its located right in front of Pavilion and along the streets of Bukit Bintang. Breakfast at the hotel was excellent. The staff are not friendly. They dont respond to enquiry made on booking.com. I informed them prior that im with a senior citizen on a wheelchair. We checked in at 2pm and room wasnt ready. Its okay, we understand on this and their staff told us that he will call us when the room is ready. So I brought my mom who is on a wheelchair to Pavilion. We waited until 5.30 and still no call. Went to the hotel and a different staff came and told us our room was ready at 3.30pm. How is this convenient? Be more friendly please. And when you said you ll call, please call.",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2026-01-03,January,2026,January 2026,"Avoid the New Year stay Good location, comfortable bed , room is spacious and clean. Breakfast is good but so crowded due to the new year period. Bonus points for the concierge staff who are super helpful, helping us to get the grab to the airport. Thank you. 2nd time stay at this hotel. But this time we did not enjoy our time. It s super crowded and noisy. Will try to stay a bit further out from Bukit Bintang next time.",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-12-24,December,2025,December 2025,"A peaceful and private stay with a quiet environment, but the overall experience did not fully meet I appreciate the quiet and private environment provided however, other aspects of the stay did not fully meet our expectations. As this was an anniversary stay, we were hoping for a special experience. Unfortunately, it did not meet our expectations and there was no surprise or thoughtful arrangement.",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-12-22,December,2025,December 2025,"Pleasant The location. And the check in lady was very nice The showers were incredible. How freezing cold the corridors to the rooms were. One of our rooms had a faux wall and no natural light coming in. Even with our ac turned off and blankets on, we were cold in the night.",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-12-15,December,2025,December 2025,Pleasant Location Very basic,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-12-14,December,2025,December 2025,"Pleasant Location is very good They don t have a kids menu,always prioritizing bonvoy members.",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-12-12,December,2025,December 2025,"one time enough. unlikely to go another time due to the sound proof problem. location was good, room was clean and look nice but the sound proof was bad, can hear next room snoring throughout the night, resulted in no sleep for me the whole night. Breakfast was ok, but some dishes were too salty, especially nasi lemak sambal and egg omelet. improve sound proof",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-12-12,December,2025,December 2025,"JW Marriott Bukit Bintang has the most baffling elevator logic I ve encountered! Nice rooms, nice swimming pool, and the location is great, if you need to be in that location otherwise traffic to get to and leave from can be a hassle . As someone who spends over 200 nights a year in hotels across Asia, I ve stayed at this property some 15 20 times. Yet, every visit, I find myself frustrated by the elevators. For example, you can be waiting on a floor while two lifts sit idle just below you, unmoving. You wait and wait only for an elevator from several floors away to finally arrive. This isn t an isolated incident after spending just a short time here, you ll quickly realize how inefficient the entire lift system is. The check in tablets seem ancient and they dont work properly. The rain shower in my room was splashing water all across the bathroom. Breakfast buffet does not serve cold cuts",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-12-06,December,2025,December 2025,"Not bad. Not up to normal Marriott standards though so not worth the price. Location is excellent, staff are friendly. Not cleaned under the bed. Issues with lights in room.",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-11-28,November,2025,November 2025,Pleasant Location Not JW Marriott standard.,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-11-27,November,2025,November 2025,Not really up to the usual Marriott standard. Poor internet which stopped working completely twice during the 3 day stay,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-11-21,November,2025,November 2025,Ok Was good but more vegetarian options would be great Initial check in..we jad booked for a superior twin room and we were given a basic room. Thats not a good hotels thing to do,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-11-21,November,2025,November 2025,Passable Location is convenient for walking but difficult for cars to reach. Room size and breakfast variety was good Check in was very slow. Hotel is nice but seems dated and inefficient for such a large hotel lifts were very slow. Did not having filtered water taps only 2 bottled provided . After checkin I also had to go follow up my luggage as it was not delivered to my room,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-11-05,November,2025,November 2025,Passable The location is the biggest advantage Room was big enough and kept clean Check in experience was lengthy Breakfast time was a chaos food at breakfast was not tasty,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-11-04,November,2025,November 2025,Pleasant Upon checking in my room I found hair on the bed and the sheets were not crisp which lead me think wether for new client sheets ate changed.,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-10-13,October,2025,October 2025,"Pleasant location is great. Just opposite pavilion. Walking distance to everywhere The lift was tedious. There are 6 lifts, but We waited full 5mins for a lift..",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-09-16,September,2025,September 2025,Passable The relaxing environment. Quite environment. The breakfast have not many choices of food. The menu food not follow the specification of five star hotel. Longer waiting time to line up for breakfast and closed fast. Room was bit dust.,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-09-06,September,2025,September 2025,good location but just do breakfast outside the location the room was dusty for a suite considering the price and breakfast was mid,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-08-17,August,2025,August 2025,"Pleasant 1. Unprofessional Behavior by the Duty Manager During check in, the duty manager was disrespectful and dismissive, showing no concern for the inconvenience caused. 2. Excessive Waiting Time I was forced to wait over two hours in the lobby without any proactive assistance, updates, or even basic hospitality .This was a complete waste of my time and reflects poorly on your guest service standards. 3. Uncomfortable Conditions The hallways and elevators were ere extremely hot, making the environment not only uncomfortable but also potentially unsafe. 4. Undisclosed Additional Charges I was charged an unexpected tax fee that was not mentioned at the time of my advance booking ,which I consider misleading and unethical.",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-08-16,August,2025,August 2025,"Wouldn t stay here again Rooms are good and housekeeping team worked well Long wait for the lift, if you stay on higher floor not good, breakfast selection is basic, broken coffee machines, staff not proactive , long queue to check in , very crowded hotel",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-07-27,July,2025,July 2025,"Pleasant Nice pool and good breakfast. We booked gabana room facing the pool, the cleaning of the terrace could be better and definitely quicker. We booked for 2, but had to reming about bathrobes etc. FOR TWO PEOPLE. But the worst thing is that the hotel charged me 20 more booking.com price for services and ignored the booking confirmation.",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-07-17,July,2025,July 2025,Not good value for money. location is very good walking distance can reach famous places The room has poor sound insulation. The pillow is too soft and flat. The room wasn't very clean. The facilities are a bit old due to the age of the property. The breakfast selection is limited.,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-07-07,July,2025,July 2025,"Nice room but disappointing service and ambience. A good location if you want to stay in the heart of KLCC. Close to many malls with lots of dining options. There is a decent spread for breakfast. The room itself is pretty large and has a nice shower area with a small tub, which is good sized only for a kid. There was banging of doors throughout the night in the room we were in. Our room also overlooked the inside of the mall and it was extremely noisy during the day when there were performances, making it difficult for our little one to nap. We complained about the noise to the concierge thrice before we finally got an offer to change our room on the last night, but it was really too late. Our room was also very, very far from the lifts. All in all, a disappointing experience.",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-06-26,June,2025,June 2025,Good location in CBD Location Friendly staff Great breakfast Room size More amenities in the room is required,Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
2025-06-21,June,2025,June 2025,"Nice room but your experience may vary based on the room allocated. Good sized room, nice bathroom as well. Conveniently located near a lot of shopping, in the heart of KL. Room was very noisy! There were slamming doors through the night as we were next to the housekeeping room. Requested to change room 3x and only got an offer to change our room on the last night, which was very disappointing!",Neutral,Data Source 1 - JW-Marriott-KL,Booking.com,JW Marriott Kuala Lumpur
